"YEAR","MONTH","DAY","TMAX","TMIN","TOBS","PRCP","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","4","7","61","50","52","1.1","67","59","67","62","66","64"
"2017","4","8","63","44","49","0.71","63","56","63","59","65","62"
"2017","4","9","59","40","49","0.07","63","55","62","58","63","62"
"2017","4","10","62","42","47","0","66","56","63","57","63","61"
"2017","4","11","68","47","55","0.01","67","55","64","58","62","61"
"2017","4","12","65","52","56","0.01","64","58","63","60","63","61"
"2017","4","13","65","48","52","0.09","64","57","63","59","63","61"
"2017","4","14","62","39","49","0.23","64","54","63","57","62","61"
"2017","4","15","65","40","55","0","64","54","62","57","62","60"
"2017","4","16","71","47","59","0","67","55","63","57","62","60"
"2017","4","17","59","51","56","0.37","60","58","61","59","62","61"
"2017","4","18","62","54","56","0.05","62","58","61","58","61","60"
"2017","4","19","69","44","52","0.01","69","57","65","59","62","60"
"2017","4","20","68","49","59","0.05","67","57","64","60","62","61"
"2017","4","21","70","49","59","0","68","58","65","61","63","61"
"2017","4","22","81","49","65","0","68","58","65","60","63","61"
"2017","4","23","74","47","63","0","67","58","65","61","63","62"
"2017","4","24","74","54","56","0","71","59","67","61","64","62"
"2017","4","25","67","49","56","0","68","61","66","63","64","63"
"2017","4","26","71","56","59","0","72","61","68","62","65","63"
"2017","4","27","72","49","59","0","73","63","69","65","66","64"
"2017","4","28","77","55","59","0","76","63","71","65","66","65"
"2017","4","30","83","46","70","0","76","65","71","67","67","65"
"2017","5","1","86","60","70","0","80","65","74","67","68","66"
"2017","5","2","89","67","75","0","81","69","76","70","69","68"
"2017","5","3","90","69","77","0","83","72","78","72","71","69"
"2017","5","4","95","59","73","0","87","74","81","74","72","70"
"2017","5","5","90","53","60","0","87","73","82","75","74","72"
"2017","5","6","85","48","59","0","85","71","80","74","74","73"
"2017","5","7","71","54","69","0","81","71","78","73","74","72"
"2017","5","8","76","49","61","0","83","71","79","73","73","72"
"2017","5","9","87","51","67","0","84","71","79","73","74","72"
"2017","5","10","92","55","60","0","86","72","81","74","75","73"
"2017","5","11","74","52","59","0","83","70","79","73","75","73"
"2017","5","12","74","49","57","0","82","69","78","72","75","73"
"2017","5","13","74","42","60","0","81","68","78","72","74","72"
"2017","5","14","73","44","62","0","81","68","77","71","74","72"
"2017","5","15","71","44","57","0","79","68","76","71","74","72"
"2017","5","16","80","49","54","0","81","68","77","71","73","72"
"2017","5","17","69","46","60","0","75","67","74","70","73","72"
"2017","5","18","77","47","67","0.33","78","66","75","69","73","71"
"2017","5","19","85","54","68","0","81","68","76","70","73","72"
"2017","5","20","91","53","77","0","84","70","79","72","74","72"
"2017","5","21","94","55","81","0","87","73","81","74","75","73"
"2017","5","22","96","57","72","0","89","76","83","76","76","74"
"2017","5","23","97","57","73","0","89","77","84","78","77","75"
"2017","5","24","98","55","64","0","91","78","86","78","78","76"
"2017","5","25","84","53","60","0","87","74","83","77","78","77"
"2017","5","26","72","51","60","0","84","72","81","75","78","76"
"2017","5","27","73","52","68","0","83","71","80","74","77","75"
"2017","5","28","81","51","70","0","85","71","80","74","77","75"
"2017","5","29","87","54","70","0","87","73","82","75","77","75"
"2017","5","30","85","53","63","0","86","75","83","77","78","76"
"2017","5","31","80","56","62","0.03","84","75","81","76","78","76"
"2017","6","1","82","55","69","0","86","75","82","76","78","76"
"2017","6","2","86","56","67","0","88","75","84","76","78","76"
"2017","6","4","90","53","75","0","89","77","85","79","79","77"
"2017","6","5","87","49","63","0","90","77","85","79","79","78"
"2017","6","6","91","53","66","0","89","76","85","78","80","78"
"2017","6","7","89","55","66","0","90","77","86","79","80","78"
"2017","6","8","85","56","58","0.16","86","76","84","79","80","79"
"2017","6","9","71","58","65","0.01","80","74","79","76","80","78"
"2017","6","10","77","46","69","0","84","72","81","75","78","77"
"2017","6","11","78","45","63","0","84","72","81","74","78","76"
"2017","6","12","68","47","58","0.6","77","66","77","70","78","75"
"2017","6","13","73","52","64","0","77","66","75","69","77","74"
"2017","6","14","83","56","69","0","81","68","77","71","75","74"
"2017","6","15","89","56","69","0","85","71","81","73","76","74"
"2017","6","16","94","66","79","0","88","74","83","75","78","75"
"2017","6","18","100","81","91","0","94","84","88","82","81","78"
"2017","6","19","105","70","87","0","97","84","90","83","82","80"
"2017","6","20","103","68","82","0","98","85","92","85","84","81"
"2017","6","21","101","65","82","0","95","83","91","85","84","82"
"2017","6","22","105","76","89","0","96","83","91","84","85","82"
"2017","6","23","106","66","80","0","97","85","92","86","85","83"
"2017","6","24","101","60","78","0","95","83","91","86","85","83"
"2017","6","25","97","58","74","0","95","82","91","84","85","83"
"2017","6","26","89","57","67","0","94","81","90","84","86","84"
"2017","6","27","86","55","65","0","93","80","89","83","85","83"
"2017","6","28","88","56","66","0","93","80","89","82","85","83"
"2017","6","29","90","55","69","0","93","81","90","83","85","83"
"2017","6","30","93","55","68","0","94","81","89","83","85","83"
"2017","7","1","93","54","76","0","93","83","81","85","89","83"
"2017","7","2","90","54","76","0","93","83","80","85","89","83"
"2017","7","3","91","58","70","0","94","81","90","83","85","83"
"2017","7","4","93","55","76","0","93","80","89","83","85","83"
"2017","7","5","93","56","67","0","93","80","89","83","85","83"
"2017","7","6","93","56","74","0","91","80","88","82","85","83"
"2017","7","7","100","60","78","0","93","80","89","82","84","82"
"2017","7","8","107","61","86","0","95","82","90","84","85","83"
"2017","7","9","105","52","75","0","96","84","91","85","85","83"
"2017","7","10","98","58","73","0","95","83","91","84","86","84"
"2017","7","11","96","58","69","0","96","83","91","84","86","84"
"2017","7","12","90","58","72","0","94","82","90","84","86","84"
"2017","7","13","93","56","71","0","94","82","90","84","86","84"
"2017","7","14","91","58","71","0","93","82","90","83","86","83"
"2017","7","15","95","55","75","0","93","82","89","83","85","83"
"2017","7","16","101","67","90","0","93","82","89","83","85","84"
"2017","7","17","102","62","78","0","95","84","91","85","86","84"
"2017","7","18","101","57","64","0","95","83","91","85","86","84"
"2017","7","19","87","53","67","0","93","82","90","84","86","84"
"2017","7","20","92","57","68","0","94","81","90","83","86","84"
"2017","7","21","92","57","68","0","94","64","90","84","86","84"
"2017","7","22","95","56","77","0","95","82","90","84","86","84"
"2017","7","23","101","61","79","0","95","83","91","84","86","84"
"2017","7","24","100","62","71","0","96","84","91","85","87","85"
"2017","7","25","91","57","71","0","94","83","91","86","87","85"
"2017","7","26","91","57","72","0","94","82","90","84","87","85"
"2017","7","27","94","58","71","0","95","82","91","84","86","84"
"2017","7","28","99","60","74","0","95","83","91","85","87","84"
"2017","7","30","93","53","73","0","95","83","91","85","87","85"
"2017","7","31","95","59","70","0","94","82","90","84","87","85"
"2017","8","1","98","61","73","0","95","83","90","85","86","85"
"2017","8","2","101","62","75","0","95","84","91","85","87","85"
"2017","8","3","99","69","80","0","96","85","92","86","87","85"
"2017","8","4","98","70","75","0","95","86","92","87","88","85"
"2017","8","5","90","64","73","0","91","84","89","86","87","85"
"2017","8","6","94","59","76","0","94","84","90","85","87","85"
"2017","8","7","88","56","68","0","94","83","91","85","87","85"
"2017","8","8","90","56","66","0","94","83","90","84","87","85"
"2017","8","9","92","58","67","0","94","82","90","84","87","85"
"2017","8","10","90","58","66","0","93","83","90","84","87","85"
"2017","8","11","92","60","70","0","93","83","90","84","86","85"
"2017","8","12","96","60","78","0","93","82","90","84","86","84"
"2017","8","13","95","56","75","0","93","83","90","84","86","84"
"2017","8","14","88","60","67","0","92","82","89","84","86","85"
"2017","8","15","80","55","65","0","91","81","88","84","86","84"
"2017","8","16","81","55","66","0","90","80","87","82","86","84"
"2017","8","17","87","59","67","0","90","77","87","82","85","83"
"2017","8","18","93","59","68","0","91","81","88","82","85","83"
"2017","8","19","95","59","74","0","91","81","88","83","85","83"
"2017","8","20","93","58","75","0","91","82","88","83","85","83"
"2017","8","21","90","62","70","0","91","82","88","83","85","84"
"2017","8","22","85","60","69","0","89","81","87","83","85","83"
"2017","8","23","93","59","71","0","90","81","87","82","85","83"
"2017","8","24","96","58","68","0","90","81","88","83","85","83"
"2017","8","25","89","53","64","0","89","78","86","82","85","83"
"2017","8","26","96","59","77","0","88","78","86","81","84","83"
"2017","8","27","105","66","79","0","89","79","86","81","84","82"
"2017","8","28","107","63","78","0","91","81","87","82","85","83"
"2017","8","29","108","64","76","0","92","82","88","83","85","83"
"2017","8","30","96","56","66","0","92","82","89","84","85","84"
"2017","8","31","97","55","72","0","91","81","88","83","85","84"
"2017","9","1","100","67","82","0","90","81","87","82","85","83"
"2017","9","2","110","67","84","0","90","80","87","82","85","83"
"2017","9","3","108","70","90","0","91","82","88","83","85","83"
"2017","9","4","104","67","86","0","91","84","88","85","85","84"
"2017","9","5","94","73","78","0","89","83","87","84","85","84"
"2017","9","6","92","67","74","0","92","83","89","84","85","84"
